train,task,same_sub,diff_sub,feature,Network
MSC01,semantic,0.8,0.5092857142857143,unassign,14808
MSC02,semantic,0.85,0.525,unassign,14808
MSC03,semantic,0.85,0.5085714285714286,unassign,14808
MSC04,semantic,0.85,0.5871428571428572,unassign,14808
MSC05,semantic,0.95,0.5978571428571429,unassign,14808
MSC06,semantic,0.8,0.6264285714285714,unassign,14808
MSC07,semantic,0.9,0.5357142857142857,unassign,14808
MSC10,semantic,0.65,0.5242857142857142,unassign,14808
MSC01,glass,0.85,0.5071942446043165,unassign,14808
MSC02,glass,0.65,0.516546762589928,unassign,14808
MSC03,glass,0.65,0.5107913669064749,unassign,14808
MSC04,glass,0.85,0.5525179856115108,unassign,14808
MSC05,glass,0.8,0.5035971223021583,unassign,14808
MSC06,glass,0.6666666666666666,0.5428571428571428,unassign,14808
MSC07,glass,0.75,0.5028776978417266,unassign,14808
MSC10,glass,0.75,0.520863309352518,unassign,14808
MSC01,motor,0.9,0.5735714285714286,unassign,14808
MSC02,motor,0.95,0.5457142857142857,unassign,14808
MSC03,motor,0.95,0.6885714285714285,unassign,14808
MSC04,motor,0.95,0.7721428571428571,unassign,14808
MSC05,motor,1.0,0.6028571428571429,unassign,14808
MSC06,motor,0.9,0.5864285714285714,unassign,14808
MSC07,motor,0.8,0.5857142857142857,unassign,14808
MSC10,motor,0.85,0.6014285714285714,unassign,14808
MSC01,mem,0.9,0.7964285714285715,unassign,14808
MSC02,mem,0.95,0.7792857142857142,unassign,14808
MSC03,mem,0.9,0.5257142857142857,unassign,14808
MSC04,mem,1.0,0.7328571428571429,unassign,14808
MSC05,mem,1.0,0.7685714285714286,unassign,14808
MSC06,mem,0.95,0.795,unassign,14808
MSC07,mem,0.95,0.6892857142857143,unassign,14808
MSC10,mem,0.85,0.7485714285714286,unassign,14808
MSC01,semantic,0.95,0.8564285714285714,default,10824
MSC02,semantic,0.95,0.6414285714285715,default,10824
MSC03,semantic,0.85,0.5764285714285714,default,10824
MSC04,semantic,0.95,0.685,default,10824
MSC05,semantic,0.95,0.6821428571428572,default,10824
MSC06,semantic,0.9,0.7035714285714285,default,10824
MSC07,semantic,1.0,0.6235714285714286,default,10824
MSC10,semantic,0.9,0.84,default,10824
MSC01,glass,0.9,0.6805755395683453,default,10824
MSC02,glass,0.85,0.6539568345323741,default,10824
MSC03,glass,0.95,0.5330935251798561,default,10824
MSC04,glass,0.95,0.7323741007194244,default,10824
MSC05,glass,0.95,0.5863309352517986,default,10824
MSC06,glass,0.8333333333333334,0.6341269841269841,default,10824
MSC07,glass,0.85,0.5366906474820143,default,10824
MSC10,glass,0.85,0.7726618705035971,default,10824
MSC01,motor,1.0,0.8607142857142858,default,10824
MSC02,motor,0.95,0.62,default,10824
MSC03,motor,0.9,0.8421428571428572,default,10824
MSC04,motor,1.0,0.9078571428571428,default,10824
MSC05,motor,0.95,0.645,default,10824
MSC06,motor,1.0,0.6807142857142857,default,10824
MSC07,motor,1.0,0.8307142857142857,default,10824
MSC10,motor,1.0,0.9257142857142857,default,10824
MSC01,mem,1.0,0.9021428571428571,default,10824
MSC02,mem,1.0,0.8835714285714286,default,10824
MSC03,mem,0.9,0.8114285714285714,default,10824
MSC04,mem,1.0,0.8828571428571429,default,10824
MSC05,mem,1.0,0.7171428571428571,default,10824
MSC06,mem,1.0,0.8878571428571429,default,10824
MSC07,mem,0.9,0.9314285714285714,default,10824
MSC10,mem,1.0,0.81,default,10824
MSC01,semantic,0.95,0.6814285714285714,visual,8736
MSC02,semantic,0.9,0.5307142857142857,visual,8736
MSC03,semantic,0.8,0.5007142857142857,visual,8736
MSC04,semantic,0.95,0.7235714285714285,visual,8736
MSC05,semantic,0.95,0.7764285714285715,visual,8736
MSC06,semantic,0.9,0.7535714285714286,visual,8736
MSC07,semantic,0.9,0.5571428571428572,visual,8736
MSC10,semantic,0.7,0.7078571428571429,visual,8736
MSC01,glass,0.95,0.6705035971223021,visual,8736
MSC02,glass,0.95,0.5697841726618705,visual,8736
MSC03,glass,0.85,0.5223021582733813,visual,8736
MSC04,glass,0.95,0.7546762589928058,visual,8736
MSC05,glass,1.0,0.7028776978417266,visual,8736
MSC06,glass,0.6666666666666666,0.6087301587301588,visual,8736
MSC07,glass,0.9,0.516546762589928,visual,8736
MSC10,glass,0.75,0.5913669064748202,visual,8736
MSC01,motor,1.0,0.855,visual,8736
MSC02,motor,1.0,0.7471428571428571,visual,8736
MSC03,motor,1.0,0.6735714285714286,visual,8736
MSC04,motor,1.0,0.9092857142857143,visual,8736
MSC05,motor,0.95,0.6928571428571428,visual,8736
MSC06,motor,1.0,0.7821428571428571,visual,8736
MSC07,motor,0.9,0.6292857142857143,visual,8736
MSC10,motor,1.0,0.8878571428571429,visual,8736
MSC01,mem,1.0,0.8407142857142857,visual,8736
MSC02,mem,1.0,0.9128571428571428,visual,8736
MSC03,mem,1.0,0.7428571428571429,visual,8736
MSC04,mem,1.0,0.7971428571428572,visual,8736
MSC05,mem,1.0,0.7957142857142857,visual,8736
MSC06,mem,1.0,0.8714285714285714,visual,8736
MSC07,mem,1.0,0.845,visual,8736
MSC10,mem,0.9,0.7871428571428571,visual,8736
MSC01,semantic,0.95,0.6392857142857142,fp,4620
MSC02,semantic,0.85,0.5935714285714286,fp,4620
MSC03,semantic,0.85,0.65,fp,4620
MSC04,semantic,0.95,0.7571428571428571,fp,4620
MSC05,semantic,1.0,0.8264285714285714,fp,4620
MSC06,semantic,0.9,0.8228571428571428,fp,4620
MSC07,semantic,1.0,0.6814285714285714,fp,4620
MSC10,semantic,0.95,0.8542857142857143,fp,4620
MSC01,glass,0.9,0.5086330935251798,fp,4620
MSC02,glass,0.85,0.6172661870503597,fp,4620
MSC03,glass,0.85,0.5244604316546763,fp,4620
MSC04,glass,1.0,0.6899280575539568,fp,4620
MSC05,glass,0.95,0.6661870503597123,fp,4620
MSC06,glass,0.8888888888888888,0.5944444444444444,fp,4620
MSC07,glass,0.95,0.6258992805755396,fp,4620
MSC10,glass,0.75,0.737410071942446,fp,4620
MSC01,motor,1.0,0.5228571428571428,fp,4620
MSC02,motor,0.85,0.5,fp,4620
MSC03,motor,0.95,0.8321428571428572,fp,4620
MSC04,motor,1.0,0.8471428571428571,fp,4620
MSC05,motor,1.0,0.795,fp,4620
MSC06,motor,0.95,0.6014285714285714,fp,4620
MSC07,motor,0.95,0.6364285714285715,fp,4620
MSC10,motor,0.95,0.7564285714285715,fp,4620
MSC01,mem,1.0,0.5078571428571429,fp,4620
MSC02,mem,0.95,0.8757142857142857,fp,4620
MSC03,mem,0.95,0.5885714285714285,fp,4620
MSC04,mem,1.0,0.8178571428571428,fp,4620
MSC05,mem,1.0,0.7235714285714285,fp,4620
MSC06,mem,1.0,0.7842857142857143,fp,4620
MSC07,mem,0.95,0.6807142857142857,fp,4620
MSC10,mem,1.0,0.7692857142857142,fp,4620
MSC01,semantic,1.0,0.8828571428571429,dan,5264
MSC02,semantic,0.9,0.6107142857142858,dan,5264
MSC03,semantic,0.95,0.6728571428571428,dan,5264
MSC04,semantic,0.95,0.8557142857142858,dan,5264
MSC05,semantic,0.95,0.7007142857142857,dan,5264
MSC06,semantic,0.95,0.7892857142857143,dan,5264
MSC07,semantic,1.0,0.6857142857142857,dan,5264
MSC10,semantic,0.8,0.8421428571428572,dan,5264
MSC01,glass,0.9,0.6503597122302158,dan,5264
MSC02,glass,0.85,0.5510791366906475,dan,5264
MSC03,glass,0.9,0.6525179856115108,dan,5264
MSC04,glass,0.95,0.7474820143884892,dan,5264
MSC05,glass,1.0,0.6366906474820144,dan,5264
MSC06,glass,0.8888888888888888,0.5333333333333333,dan,5264
MSC07,glass,0.95,0.6453237410071943,dan,5264
MSC10,glass,0.85,0.6122302158273382,dan,5264
MSC01,motor,1.0,0.6235714285714286,dan,5264
MSC02,motor,0.85,0.5371428571428571,dan,5264
MSC03,motor,0.95,0.8578571428571429,dan,5264
MSC04,motor,1.0,0.8414285714285714,dan,5264
MSC05,motor,1.0,0.7571428571428571,dan,5264
MSC06,motor,1.0,0.6221428571428571,dan,5264
MSC07,motor,0.95,0.5792857142857143,dan,5264
MSC10,motor,0.9,0.6992857142857143,dan,5264
MSC01,mem,1.0,0.5128571428571428,dan,5264
MSC02,mem,1.0,0.8507142857142858,dan,5264
MSC03,mem,0.95,0.6314285714285715,dan,5264
MSC04,mem,1.0,0.6878571428571428,dan,5264
MSC05,mem,1.0,0.705,dan,5264
MSC06,mem,1.0,0.8014285714285715,dan,5264
MSC07,mem,0.95,0.7135714285714285,dan,5264
MSC10,mem,1.0,0.7957142857142857,dan,5264
MSC01,semantic,0.95,0.605,van,3151
MSC02,semantic,0.85,0.6771428571428572,van,3151
MSC03,semantic,0.8,0.6792857142857143,van,3151
MSC04,semantic,0.9,0.7014285714285714,van,3151
MSC05,semantic,0.9,0.6742857142857143,van,3151
MSC06,semantic,0.85,0.7292857142857143,van,3151
MSC07,semantic,1.0,0.645,van,3151
MSC10,semantic,0.8,0.6585714285714286,van,3151
MSC01,glass,0.8,0.518705035971223,van,3151
MSC02,glass,0.8,0.6273381294964029,van,3151
MSC03,glass,0.8,0.5230215827338129,van,3151
MSC04,glass,0.9,0.5748201438848921,van,3151
MSC05,glass,0.75,0.5309352517985612,van,3151
MSC06,glass,0.7222222222222222,0.5936507936507937,van,3151
MSC07,glass,0.85,0.5201438848920863,van,3151
MSC10,glass,0.8,0.5611510791366906,van,3151
MSC01,motor,0.95,0.5335714285714286,van,3151
MSC02,motor,0.95,0.6392857142857142,van,3151
MSC03,motor,1.0,0.775,van,3151
MSC04,motor,0.95,0.7507142857142858,van,3151
MSC05,motor,1.0,0.5564285714285714,van,3151
MSC06,motor,0.95,0.5614285714285714,van,3151
MSC07,motor,0.95,0.51,van,3151
MSC10,motor,0.95,0.63,van,3151
MSC01,mem,1.0,0.6178571428571429,van,3151
MSC02,mem,0.95,0.4957142857142857,van,3151
MSC03,mem,0.9,0.5728571428571428,van,3151
MSC04,mem,0.95,0.715,van,3151
MSC05,mem,1.0,0.665,van,3151
MSC06,mem,1.0,0.6857142857142857,van,3151
MSC07,mem,0.9,0.6621428571428571,van,3151
MSC10,mem,0.9,0.5685714285714286,van,3151
MSC01,semantic,0.9,0.7264285714285714,salience,494
MSC02,semantic,0.85,0.6407142857142857,salience,494
MSC03,semantic,0.8,0.6271428571428571,salience,494
MSC04,semantic,0.9,0.7685714285714286,salience,494
MSC05,semantic,1.0,0.5592857142857143,salience,494
MSC06,semantic,0.8,0.7964285714285715,salience,494
MSC07,semantic,0.9,0.6457142857142857,salience,494
MSC10,semantic,0.75,0.6521428571428571,salience,494
MSC01,glass,0.8,0.5302158273381294,salience,494
MSC02,glass,0.7,0.6280575539568345,salience,494
MSC03,glass,0.85,0.5553956834532374,salience,494
MSC04,glass,0.9,0.6992805755395683,salience,494
MSC05,glass,0.85,0.6503597122302158,salience,494
MSC06,glass,0.7222222222222222,0.6253968253968254,salience,494
MSC07,glass,0.95,0.5985611510791367,salience,494
MSC10,glass,0.65,0.5906474820143884,salience,494
MSC01,motor,0.9,0.6921428571428572,salience,494
MSC02,motor,0.9,0.6592857142857143,salience,494
MSC03,motor,0.95,0.6228571428571429,salience,494
MSC04,motor,0.8,0.6471428571428571,salience,494
MSC05,motor,0.95,0.6742857142857143,salience,494
MSC06,motor,0.85,0.665,salience,494
MSC07,motor,0.85,0.6178571428571429,salience,494
MSC10,motor,0.8,0.5628571428571428,salience,494
MSC01,mem,0.85,0.6628571428571428,salience,494
MSC02,mem,0.9,0.7564285714285715,salience,494
MSC03,mem,1.0,0.7764285714285715,salience,494
MSC04,mem,0.9,0.6135714285714285,salience,494
MSC05,mem,1.0,0.7285714285714285,salience,494
MSC06,mem,0.9,0.7,salience,494
MSC07,mem,0.95,0.6442857142857142,salience,494
MSC10,mem,0.75,0.7235714285714285,salience,494
MSC01,semantic,1.0,0.6714285714285715,co,4060
MSC02,semantic,0.8,0.6414285714285715,co,4060
MSC03,semantic,0.85,0.5028571428571429,co,4060
MSC04,semantic,0.9,0.69,co,4060
MSC05,semantic,0.85,0.615,co,4060
MSC06,semantic,0.8,0.71,co,4060
MSC07,semantic,1.0,0.6485714285714286,co,4060
MSC10,semantic,0.8,0.6457142857142857,co,4060
MSC01,glass,0.85,0.5913669064748202,co,4060
MSC02,glass,0.85,0.6115107913669064,co,4060
MSC03,glass,0.85,0.5230215827338129,co,4060
MSC04,glass,0.85,0.6971223021582734,co,4060
MSC05,glass,0.9,0.45827338129496403,co,4060
MSC06,glass,0.6666666666666666,0.6111111111111112,co,4060
MSC07,glass,0.95,0.6143884892086331,co,4060
MSC10,glass,0.9,0.5841726618705035,co,4060
MSC01,motor,0.95,0.7992857142857143,co,4060
MSC02,motor,1.0,0.8514285714285714,co,4060
MSC03,motor,1.0,0.8621428571428571,co,4060
MSC04,motor,0.95,0.7992857142857143,co,4060
MSC05,motor,1.0,0.7071428571428572,co,4060
MSC06,motor,0.95,0.7642857142857143,co,4060
MSC07,motor,1.0,0.6392857142857142,co,4060
MSC10,motor,0.95,0.7528571428571429,co,4060
MSC01,mem,1.0,0.7764285714285715,co,4060
MSC02,mem,0.95,0.75,co,4060
MSC03,mem,1.0,0.785,co,4060
MSC04,mem,0.95,0.8171428571428572,co,4060
MSC05,mem,1.0,0.5457142857142857,co,4060
MSC06,mem,0.85,0.7735714285714286,co,4060
MSC07,mem,0.95,0.6278571428571429,co,4060
MSC10,mem,0.95,0.7107142857142857,co,4060
MSC01,semantic,0.95,0.5571428571428572,sm,2375
MSC02,semantic,0.7,0.5192857142857142,sm,2375
MSC03,semantic,0.85,0.54,sm,2375
MSC04,semantic,0.85,0.5742857142857143,sm,2375
MSC05,semantic,0.9,0.6035714285714285,sm,2375
MSC06,semantic,0.85,0.6907142857142857,sm,2375
MSC07,semantic,0.9,0.53,sm,2375
MSC10,semantic,0.9,0.5435714285714286,sm,2375
MSC01,glass,0.8,0.5517985611510792,sm,2375
MSC02,glass,0.65,0.5143884892086331,sm,2375
MSC03,glass,0.85,0.5892086330935252,sm,2375
MSC04,glass,0.85,0.6107913669064748,sm,2375
MSC05,glass,0.95,0.6316546762589927,sm,2375
MSC06,glass,0.8888888888888888,0.557936507936508,sm,2375
MSC07,glass,0.9,0.5280575539568345,sm,2375
MSC10,glass,0.7,0.5928057553956835,sm,2375
MSC01,motor,0.95,0.5857142857142857,sm,2375
MSC02,motor,1.0,0.8042857142857143,sm,2375
MSC03,motor,1.0,0.7842857142857143,sm,2375
MSC04,motor,1.0,0.8728571428571429,sm,2375
MSC05,motor,1.0,0.8435714285714286,sm,2375
MSC06,motor,0.9,0.7857142857142857,sm,2375
MSC07,motor,0.95,0.6,sm,2375
MSC10,motor,0.95,0.7571428571428571,sm,2375
MSC01,mem,0.9,0.52,sm,2375
MSC02,mem,0.95,0.6478571428571429,sm,2375
MSC03,mem,0.85,0.6057142857142858,sm,2375
MSC04,mem,1.0,0.7428571428571429,sm,2375
MSC05,mem,1.0,0.685,sm,2375
MSC06,mem,1.0,0.7378571428571429,sm,2375
MSC07,mem,0.8,0.6707142857142857,sm,2375
MSC10,mem,1.0,0.6492857142857142,sm,2375
MSC01,semantic,0.85,0.5685714285714286,sm-lat,316
MSC02,semantic,0.8,0.5642857142857143,sm-lat,316
MSC03,semantic,0.65,0.5185714285714286,sm-lat,316
MSC04,semantic,0.6,0.59,sm-lat,316
MSC05,semantic,0.75,0.5185714285714286,sm-lat,316
MSC06,semantic,0.6,0.5464285714285715,sm-lat,316
MSC07,semantic,0.85,0.5214285714285715,sm-lat,316
MSC10,semantic,0.85,0.555,sm-lat,316
MSC01,glass,0.75,0.60431654676259,sm-lat,316
MSC02,glass,0.7,0.6007194244604317,sm-lat,316
MSC03,glass,0.6,0.6007194244604316,sm-lat,316
MSC04,glass,0.7,0.5402877697841727,sm-lat,316
MSC05,glass,0.75,0.5503597122302158,sm-lat,316
MSC06,glass,0.5,0.49523809523809526,sm-lat,316
MSC07,glass,0.95,0.5496402877697841,sm-lat,316
MSC10,glass,0.85,0.5820143884892086,sm-lat,316
MSC01,motor,1.0,0.6535714285714286,sm-lat,316
MSC02,motor,0.85,0.7521428571428571,sm-lat,316
MSC03,motor,0.95,0.6914285714285714,sm-lat,316
MSC04,motor,0.8,0.7335714285714285,sm-lat,316
MSC05,motor,1.0,0.735,sm-lat,316
MSC06,motor,0.8,0.7528571428571429,sm-lat,316
MSC07,motor,0.85,0.6335714285714286,sm-lat,316
MSC10,motor,1.0,0.7592857142857143,sm-lat,316
MSC01,mem,0.95,0.47000000000000003,sm-lat,316
MSC02,mem,0.9,0.6657142857142857,sm-lat,316
MSC03,mem,0.85,0.6314285714285715,sm-lat,316
MSC04,mem,0.75,0.6385714285714286,sm-lat,316
MSC05,mem,0.9,0.5285714285714286,sm-lat,316
MSC06,mem,0.75,0.6271428571428571,sm-lat,316
MSC07,mem,0.75,0.6014285714285714,sm-lat,316
MSC10,mem,1.0,0.6728571428571428,sm-lat,316
MSC01,semantic,0.95,0.515,auditory,564
MSC02,semantic,0.65,0.5371428571428571,auditory,564
MSC03,semantic,0.85,0.5,auditory,564
MSC04,semantic,0.8,0.6321428571428571,auditory,564
MSC05,semantic,0.75,0.5207142857142857,auditory,564
MSC06,semantic,0.75,0.6035714285714285,auditory,564
MSC07,semantic,0.9,0.5614285714285714,auditory,564
MSC10,semantic,0.75,0.5907142857142857,auditory,564
MSC01,glass,0.95,0.6136690647482014,auditory,564
MSC02,glass,0.75,0.5762589928057554,auditory,564
MSC03,glass,0.75,0.5064748201438849,auditory,564
MSC04,glass,0.75,0.6093525179856115,auditory,564
MSC05,glass,0.7,0.556115107913669,auditory,564
MSC06,glass,0.8333333333333334,0.6674603174603174,auditory,564
MSC07,glass,0.9,0.5359712230215827,auditory,564
MSC10,glass,0.85,0.5719424460431655,auditory,564
MSC01,motor,0.9,0.6335714285714286,auditory,564
MSC02,motor,0.85,0.48428571428571426,auditory,564
MSC03,motor,0.95,0.5157142857142857,auditory,564
MSC04,motor,0.9,0.6992857142857143,auditory,564
MSC05,motor,0.75,0.5507142857142857,auditory,564
MSC06,motor,0.75,0.6821428571428572,auditory,564
MSC07,motor,0.95,0.6257142857142857,auditory,564
MSC10,motor,0.85,0.67,auditory,564
MSC01,mem,0.9,0.5571428571428572,auditory,564
MSC02,mem,0.8,0.5235714285714286,auditory,564
MSC03,mem,0.85,0.565,auditory,564
MSC04,mem,0.75,0.6321428571428571,auditory,564
MSC05,mem,0.75,0.5650000000000001,auditory,564
MSC06,mem,0.85,0.5607142857142857,auditory,564
MSC07,mem,0.8,0.5892857142857143,auditory,564
MSC10,mem,0.85,0.5671428571428572,auditory,564
MSC01,semantic,0.85,0.5357142857142857,pmn,45
MSC02,semantic,0.65,0.5535714285714286,pmn,45
MSC03,semantic,0.7,0.5549999999999999,pmn,45
MSC04,semantic,0.95,0.59,pmn,45
MSC05,semantic,0.75,0.5564285714285714,pmn,45
MSC06,semantic,0.85,0.6685714285714286,pmn,45
MSC07,semantic,0.8,0.6,pmn,45
MSC10,semantic,0.85,0.6128571428571429,pmn,45
MSC01,glass,0.8,0.49424460431654677,pmn,45
MSC02,glass,0.7,0.5971223021582733,pmn,45
MSC03,glass,0.75,0.48633093525179855,pmn,45
MSC04,glass,0.95,0.5201438848920863,pmn,45
MSC05,glass,0.7,0.5410071942446043,pmn,45
MSC06,glass,0.7222222222222222,0.503968253968254,pmn,45
MSC07,glass,0.65,0.5935251798561151,pmn,45
MSC10,glass,0.7,0.5719424460431655,pmn,45
MSC01,motor,0.7,0.48142857142857143,pmn,45
MSC02,motor,0.8,0.5742857142857143,pmn,45
MSC03,motor,0.9,0.4764285714285714,pmn,45
MSC04,motor,0.85,0.5542857142857143,pmn,45
MSC05,motor,0.85,0.575,pmn,45
MSC06,motor,0.85,0.6178571428571429,pmn,45
MSC07,motor,0.7,0.5478571428571428,pmn,45
MSC10,motor,0.95,0.5842857142857143,pmn,45
MSC01,mem,0.95,0.5714285714285714,pmn,45
MSC02,mem,0.65,0.6042857142857143,pmn,45
MSC03,mem,0.75,0.4942857142857143,pmn,45
MSC04,mem,1.0,0.5764285714285714,pmn,45
MSC05,mem,0.8,0.54,pmn,45
MSC06,mem,0.75,0.5192857142857142,pmn,45
MSC07,mem,0.55,0.5657142857142857,pmn,45
MSC10,mem,0.7,0.5328571428571428,pmn,45
MSC01,semantic,0.75,0.6578571428571428,pon,21
MSC02,semantic,0.75,0.5835714285714286,pon,21
MSC03,semantic,0.75,0.5871428571428572,pon,21
MSC04,semantic,0.95,0.6342857142857143,pon,21
MSC05,semantic,0.9,0.6128571428571429,pon,21
MSC06,semantic,0.7,0.6878571428571428,pon,21
MSC07,semantic,0.7,0.6957142857142857,pon,21
MSC10,semantic,0.75,0.6278571428571429,pon,21
MSC01,glass,0.85,0.6158273381294964,pon,21
MSC02,glass,0.85,0.4985611510791367,pon,21
MSC03,glass,0.8,0.579136690647482,pon,21
MSC04,glass,0.85,0.6028776978417266,pon,21
MSC05,glass,0.7,0.5424460431654676,pon,21
MSC06,glass,0.7222222222222222,0.6476190476190476,pon,21
MSC07,glass,0.7,0.6330935251798561,pon,21
MSC10,glass,0.7,0.5820143884892086,pon,21
MSC01,motor,0.9,0.6021428571428571,pon,21
MSC02,motor,0.65,0.5671428571428572,pon,21
MSC03,motor,0.75,0.5435714285714286,pon,21
MSC04,motor,0.8,0.5007142857142857,pon,21
MSC05,motor,0.45,0.5592857142857143,pon,21
MSC06,motor,0.8,0.5442857142857143,pon,21
MSC07,motor,0.75,0.6035714285714285,pon,21
MSC10,motor,0.45,0.48714285714285716,pon,21
MSC01,mem,0.8,0.4764285714285714,pon,21
MSC02,mem,0.8,0.47214285714285714,pon,21
MSC03,mem,0.65,0.4514285714285714,pon,21
MSC04,mem,0.65,0.5035714285714286,pon,21
MSC05,mem,0.55,0.5121428571428571,pon,21
MSC06,mem,0.75,0.5028571428571429,pon,21
MSC07,mem,0.4,0.47214285714285714,pon,21
MSC10,mem,0.65,0.49357142857142855,pon,21
